drug	cell_line	m	n	bigM	bigN	p_value
DB00001	NCIH1693_LUNG	90	574920	51421	262645588	0.016199770598102164
DB00002	NCIH1693_LUNG	1730	574920	696427	262645588	0.9999998902154462
DB00004	NCIH1693_LUNG	236	574920	141719	262645588	6.33510470347633e-06
DB00005	NCIH1693_LUNG	1893	574920	794227	262645588	0.9998821035816805
DB00006	NCIH1693_LUNG	90	574920	51421	262645588	0.016199770598102164
DB00007	NCIH1693_LUNG	90	574920	50487	262645588	0.025471715837204027
DB00009	NCIH1693_LUNG	296	574920	186372	262645588	3.266818843147959e-09
DB00010	NCIH1693_LUNG	134	574920	62163	262645588	0.45187567855069527
DB00013	NCIH1693_LUNG	1074	574920	472039	262645588	0.9000524236818077
DB00014	NCIH1693_LUNG	405	574920	145558	262645588	0.9999985921273539
DB00015	NCIH1693_LUNG	296	574920	186372	262645588	3.266818843147959e-09
DB00017	NCIH1693_LUNG	149	574920	63326	262645588	0.8232025100418308
DB00020	NCIH1693_LUNG	147	574920	91855	262645588	3.753615840355398e-05
DB00024	NCIH1693_LUNG	315	574920	95093	262645588	0.9999999999978882
DB00025	NCIH1693_LUNG	774	574920	412464	262645588	5.87943248710924e-06
DB00028	NCIH1693_LUNG	1570	574920	568124	262645588	1.0
DB00029	NCIH1693_LUNG	296	574920	186372	262645588	3.266818843147959e-09
DB00030	NCIH1693_LUNG	75	574920	47933	262645588	0.0012997603424576396
DB00031	NCIH1693_LUNG	641	574920	412893	262645588	1.5133456027370704e-20
DB00032	NCIH1693_LUNG	630	574920	190146	262645588	1.0
DB00035	NCIH1693_LUNG	495	574920	196140	262645588	0.9991210299532801
DB00036	NCIH1693_LUNG	195	574920	106510	262645588	0.005724849256743632
DB00039	NCIH1693_LUNG	176	574920	132257	262645588	3.9735533481595534e-13
DB00040	NCIH1693_LUNG	387	574920	176027	262645588	0.5476732781071681
DB00041	NCIH1693_LUNG	236	574920	141719	262645588	6.33510470347633e-06
DB00043	NCIH1693_LUNG	116	574920	87157	262645588	3.4511835613790976e-09
DB00044	NCIH1693_LUNG	315	574920	95071	262645588	0.9999999999979414
DB00045	NCIH1693_LUNG	73	574920	46314	262645588	0.0018731149294099801
DB00046	NCIH1693_LUNG	75	574920	47933	262645588	0.0012997603424576396
DB00047	NCIH1693_LUNG	75	574920	47933	262645588	0.0012997603424576396
DB00048	NCIH1693_LUNG	777	574920	281765	262645588	0.9999999997740435
DB00050	NCIH1693_LUNG	405	574920	145558	262645588	0.9999985921273539
DB00051	NCIH1693_LUNG	58	574920	42904	262645588	4.506798267561488e-05
DB00054	NCIH1693_LUNG	2075	574920	796039	262645588	0.9999999999999969
DB00055	NCIH1693_LUNG	1150	574920	491613	262645588	0.9878279357884929
DB00056	NCIH1693_LUNG	1759	574920	700182	262645588	0.999999993178414
DB00058	NCIH1693_LUNG	57	574920	42551	262645588	3.7120458997347905e-05
DB00063	NCIH1693_LUNG	315	574920	95111	262645588	0.9999999999978438
DB00065	NCIH1693_LUNG	58	574920	42904	262645588	4.506798267561488e-05
DB00066	NCIH1693_LUNG	315	574920	95075	262645588	0.9999999999979318
DB00067	NCIH1693_LUNG	435	574920	152091	262645588	0.9999999631469563
DB00070	NCIH1693_LUNG	45	574920	44164	262645588	3.366675556241841e-09
DB00071	NCIH1693_LUNG	487	574920	292168	262645588	1.6891734651453747e-10
DB00072	NCIH1693_LUNG	1760	574920	735330	262645588	0.999899638335518
DB00074	NCIH1693_LUNG	1876	574920	755661	262645588	0.9999999606532517
DB00075	NCIH1693_LUNG	2020	574920	849118	262645588	0.9998983665323632
DB00078	NCIH1693_LUNG	1700	574920	657890	262645588	0.9999999999888669
DB00081	NCIH1693_LUNG	1385	574920	562759	262645588	0.9999916641300026
DB00083	NCIH1693_LUNG	119	574920	87730	262645588	9.35909171547756e-09
DB00086	NCIH1693_LUNG	221	574920	106507	262645588	0.22399334423625203
DB00087	NCIH1693_LUNG	1700	574920	657870	262645588	0.9999999999889572
DB00091	NCIH1693_LUNG	719	574920	240297	262645588	0.9999999999999999
DB00092	NCIH1693_LUNG	1700	574920	657890	262645588	0.9999999999888669
DB00094	NCIH1693_LUNG	315	574920	95075	262645588	0.9999999999979318
DB00095	NCIH1693_LUNG	1443	574920	603751	262645588	0.9995434997745705
DB00097	NCIH1693_LUNG	630	574920	190146	262645588	1.0
DB00098	NCIH1693_LUNG	815	574920	447637	262645588	3.095191756148725e-08
DB00099	NCIH1693_LUNG	57	574920	42551	262645588	3.7120458997347905e-05
DB00100	NCIH1693_LUNG	434	574920	251862	262645588	1.1793630490688673e-07
