Sample	Elbow point of degree	Number of genes	Gene list
NCIH1693_LUNG	77	15	6233;7311;6202;6232;6133;6189;6228;6222;6160;6135;6235;6206;6168;6161;4736
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	79	18	6233;7311;6232;6202;6222;6189;6228;6133;6209;25873;6135;6160;6168;6161;6206;6223;6234;6142
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	79	13	6233;7311;6202;6189;6232;6222;6133;6228;6160;6135;6206;6168;6161
PATU8988T_PANCREAS	76	14	6233;7311;988;6232;6189;6222;6228;6202;6160;6133;6206;6142;4736;25873
NCIH1650_LUNG	80	12	6233;7311;6202;6232;6133;6189;6228;6222;6160;6161;6168;6142
ML1_THYROID	84	6	6233;7311;6232;6189;6202;6133
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	84	8	6233;7311;6232;6202;6222;6133;6189;6228
C2BBE1_LARGE_INTESTINE	85	7	6233;7311;6222;6202;6228;6189;6133
PANC0203_PANCREAS	81	18	6233;7311;988;6202;6161;6222;6232;6189;6135;6228;6133;6160;6168;6164;6138;6206;6142;4736
HT1080_SOFT_TISSUE	79	12	6233;7311;6232;6222;6202;6189;6228;6161;6133;6168;6160;6135
A673_BONE	80	12	6233;7311;6232;6222;6202;6189;6133;6228;6160;6135;6161;6168
NCIH1581_LUNG	82	6	6233;7311;6232;6202;6228;6133
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	85	8	6233;7311;6232;6202;6133;6228;6189;6222
NIHOVCAR3_OVARY	77	13	6233;7311;6202;6160;6222;6133;6228;6135;6232;6168;25873;6209;6206
D283MED_CENTRAL_NERVOUS_SYSTEM	79	17	6233;7311;6202;6232;6189;6222;6133;6160;6228;6135;6168;6142;6161;25873;6206;6208;6147
LS513_LARGE_INTESTINE	80	12	6233;7311;6232;6222;6202;6228;6133;6189;6160;6135;6168;6161
T24_URINARY_TRACT	78	13	6233;7311;6202;6222;6228;6133;6189;6232;6135;6161;6160;6168;25873
A101D_SKIN	79	11	6233;7311;6222;6232;6202;6228;6133;6135;6160;6189;6206
GCIY_STOMACH	86	13	6233;7311;6232;6202;6228;2197;6222;6133;25873;6189;6234;6164;6235
HCC827_LUNG	80	8	6233;7311;6232;6202;6222;6189;6133;6135
U118MG_CENTRAL_NERVOUS_SYSTEM	86	7	6233;7311;6232;6202;6228;6189;6222
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	80	13	6233;7311;6232;6202;6222;6189;6133;6228;6160;6168;6135;25873;6142
MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	78	17	6233;7311;6232;6202;6222;6189;6133;6228;6168;6160;6161;6135;6142;4736;25873;6147;6206
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	79	16	6233;7311;6232;6202;6222;6189;6133;6228;6160;6168;6135;6161;25873;6206;6142;6147
MCF7_BREAST	78	14	6233;7311;6202;6222;6232;6133;6189;6160;6228;6135;6168;25873;6142;6206
MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	86	6	6233;7311;6232;6222;6189;6202
ACHN_KIDNEY	81	12	6233;7311;6202;6228;6222;6232;6189;6133;6161;6135;6142;2197
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	81	13	6233;7311;6232;6202;6222;6133;988;6189;6160;6135;25873;6168;6228
PC14_LUNG	85	5	6233;7311;6189;6202;6222
TOV112D_OVARY	85	5	6233;7311;6222;6189;6202
